Year,Month,Value,Anomaly
1900,"January",34.11,3.99
1900,"February",30.76,-3.06
1900,"March",41.27,-0.23
1900,"April",51.6,0.56
1900,"May",61.72,1.53
1900,"June",70.27,1.8
1900,"July",73.11,-0.48
1900,"August",72.84,0.76
1900,"September",65.12,0.28
1900,"October",56.35,2.25
1900,"November",41.54,-0.15
1900,"December",34.48,1.8
2020,"January",35.53,5.41
2020,"February",36.16,2.34
2020,"March",46.08,4.58
2020,"April",50.86,-0.18
2020,"May",60.89,0.7
2020,"June",70.27,1.8
2020,"July",75.63,2.04
2020,"August",74.68,2.6
2020,"September",65.89,1.05
2020,"October",54.28,0.18
2020,"November",46.31,4.62
2020,"December",35.71,3.03
