_id,year1,year2,bar_comparison,line_comparison,radial_comparison,year1Avg,year2Avg,user_id,bar_result,line_result,radial_result
69950aa0b6d32bf6dbdc5c2f,1900,2020,Right,Left,Right,52.76,59.36,69950a21b6d32bf6dbdc5c2d,Correct,Incorrect,Correct
69950ac3b6d32bf6dbdc5c30,2018,1902,Left,Left,Left,53.51,47.57,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950ad6b6d32bf6dbdc5c31,1904,2016,Right,Right,Right,51.14,64.9,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950ae5b6d32bf6dbdc5c32,1906,2014,Right,Right,Right,51.71,64.53,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950af3b6d32bf6dbdc5c33,2012,1908,Left,Left,Left,55.27,44.07,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b12b6d32bf6dbdc5c34,2010,1910,Left,Left,Left,52.98,38.41,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b1bb6d32bf6dbdc5c35,1912,2008,Right,Right,Right,50.22,54.28,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b2cb6d32bf6dbdc5c36,1914,2006,Right,Right,Right,49.83,54.24,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b41b6d32bf6dbdc5c37,2004,1916,Left,Left,Left,53.08,50.84,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b4db6d32bf6dbdc5c38,1918,2002,Right,Right,Right,45.85,53.2,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b5cb6d32bf6dbdc5c39,2000,1920,Left,Left,Left,69.25,51.07,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b66b6d32bf6dbdc5c3a,1922,1998,Right,Right,Right,42.02,54.22,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b72b6d32bf6dbdc5c3b,1996,1924,Left,Left,Left,51.88,46.57,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b7db6d32bf6dbdc5c3c,1926,1994,Right,Right,Right,43.94,52.85,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b8bb6d32bf6dbdc5c3d,1992,1928,Left,Left,Left,55.59,51.91,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950b98b6d32bf6dbdc5c3e,1930,1990,Right,Right,Right,51.97,53.5,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950ba4b6d32bf6dbdc5c3f,1988,1932,Left,Left,Left,59.62,51.72,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950bb0b6d32bf6dbdc5c40,1934,1986,Right,Right,Right,54.09,48.31,69950a21b6d32bf6dbdc5c2d,Incorrect,Incorrect,Incorrect
69950bc8b6d32bf6dbdc5c41,1936,1984,Left,Left,Left,52.14,45.97,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
69950bd1b6d32bf6dbdc5c42,1982,1938,Right,Right,Right,51.33,62.17,69950a21b6d32bf6dbdc5c2d,Correct,Correct,Correct
699525f722be9749ae6d247e,1900,2020,Right,Right,Right,52.76,59.36,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995262022be9749ae6d247f,2018,1902,Left,Left,Left,53.51,47.57,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995262c22be9749ae6d2480,1904,2016,Right,Right,Right,51.14,64.9,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995263a22be9749ae6d2481,1906,2014,Right,Right,Right,51.71,64.53,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995264622be9749ae6d2482,2012,1908,Left,Left,Left,55.27,44.07,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995265022be9749ae6d2483,2010,1910,Left,Left,Left,52.98,38.41,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995265f22be9749ae6d2484,1912,2008,Right,Right,Right,50.22,54.28,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995266922be9749ae6d2485,1914,2006,Right,Right,Right,49.83,54.24,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995267a22be9749ae6d2486,2004,1916,Right,Right,Right,53.08,50.84,6995256b22be9749ae6d247d,Incorrect,Incorrect,Incorrect
6995268322be9749ae6d2487,1918,2002,Right,Right,Right,45.85,53.2,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995268d22be9749ae6d2488,2000,1920,Left,Left,Left,69.25,51.07,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995269a22be9749ae6d2489,1922,1998,Right,Right,Right,42.02,54.22,6995256b22be9749ae6d247d,Correct,Correct,Correct
699526a422be9749ae6d248a,1996,1924,Left,Left,Left,51.88,46.57,6995256b22be9749ae6d247d,Correct,Correct,Correct
699526af22be9749ae6d248b,1926,1994,Right,Right,Right,43.94,52.85,6995256b22be9749ae6d247d,Correct,Correct,Correct
699526b822be9749ae6d248c,1992,1928,Left,Left,Left,55.59,51.91,6995256b22be9749ae6d247d,Correct,Correct,Correct
699526c622be9749ae6d248d,1930,1990,Left,Left,Left,51.97,53.5,6995256b22be9749ae6d247d,Incorrect,Incorrect,Incorrect
699526d022be9749ae6d248e,1988,1932,Left,Left,Left,59.62,51.72,6995256b22be9749ae6d247d,Correct,Correct,Correct
699526dc22be9749ae6d248f,1934,1986,Left,Left,Left,54.09,48.31,6995256b22be9749ae6d247d,Correct,Correct,Correct
699526e622be9749ae6d2490,1936,1984,Left,Left,Left,52.14,45.97,6995256b22be9749ae6d247d,Correct,Correct,Correct
699526ef22be9749ae6d2491,1982,1938,Right,Right,Right,51.33,62.17,6995256b22be9749ae6d247d,Correct,Correct,Correct
6995d901722d8e85e23a2d9c,1900,2020,Right,Right,Right,52.76,59.36,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d914722d8e85e23a2d9d,2018,1902,Left,Left,Left,53.51,47.57,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d928722d8e85e23a2d9e,1904,2016,Right,Right,Right,51.14,64.9,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d938722d8e85e23a2d9f,1906,2014,Right,Right,Right,51.71,64.53,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d948722d8e85e23a2da0,2012,1908,Left,Left,Left,55.27,44.07,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d959722d8e85e23a2da1,2010,1910,Left,Left,Left,52.98,38.41,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d975722d8e85e23a2da2,1912,2008,Right,Right,Right,50.22,54.28,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d98b722d8e85e23a2da3,1914,2006,Right,Right,Right,49.83,54.24,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d9a3722d8e85e23a2da4,2004,1916,Right,Right,Right,53.08,50.84,6995d8e1722d8e85e23a2d9b,Incorrect,Incorrect,Incorrect
6995d9b7722d8e85e23a2da5,1918,2002,Right,Right,Right,45.85,53.2,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d9c6722d8e85e23a2da6,2000,1920,Left,Left,Left,69.25,51.07,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d9dc722d8e85e23a2da7,1922,1998,Right,Right,Right,42.02,54.22,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d9ea722d8e85e23a2da8,1996,1924,Left,Left,Left,51.88,46.57,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995d9f9722d8e85e23a2da9,1926,1994,Right,Right,Right,43.94,52.85,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995da14722d8e85e23a2daa,1992,1928,Left,Left,Left,55.59,51.91,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995da2e722d8e85e23a2dab,1930,1990,Left,Left,Left,51.97,53.5,6995d8e1722d8e85e23a2d9b,Incorrect,Incorrect,Incorrect
6995da41722d8e85e23a2dac,1988,1932,Left,Left,Left,59.62,51.72,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995da52722d8e85e23a2dad,1934,1986,Left,Left,Left,54.09,48.31,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995da65722d8e85e23a2dae,1936,1984,Left,Left,Left,52.14,45.97,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
6995da82722d8e85e23a2daf,1982,1938,Right,Right,Right,51.33,62.17,6995d8e1722d8e85e23a2d9b,Correct,Correct,Correct
